RSI(14)_value,RSI(14)_status,"STOCH(9,6)_value","STOCH(9,6)_status",STOCHRSI(14)_value,STOCHRSI(14)_status,"MACD(12,26)_value","MACD(12,26)_status",ATR(14)_value,ATR(14)_status,ADX(14)_value,ADX(14)_status,CCI(14)_value,CCI(14)_status,Highs/Lows(14)_value,Highs/Lows(14)_status,UO_value,UO_status,ROC_value,ROC_status,WilliamsR_value,WilliamsR_status,BullBear(13)_value,BullBear(13)_status,Summary_value,Summary_status,Fiyat,Degisim,Hisse,Tarih,MA5_state,MA5_value,MA10_state,MA10_value,MA20_state,MA20_value,MA50_state,MA50_value,MA100_state,MA100_value,MA200_state,MA200_value,Summary_state,Summary_value
44.646,Sell,26.646,Sell,15.849,Oversold,-0.121,Sell,0.4729,Less Volatility,32.882,Sell,-103.1831,Sell,-0.2636,Sell,33.727,Sell,-3.239,Sell,-79.762,Sell,-0.5080,Sell,Buy (0) ,Strong Sell,9250,+1.43,VAKBN,2023-03-22,SAT,9.312,SAT,9.559,SAT,9.630,SAT,9.668,SAT,10.010,AL,8.067,SAT,Buy (2)
76.961,Overbought,74.328,Buy,38.161,Sell,9.940,Buy,4.9936,High Volatility,65.684,Buy,155.5378,Buy,11.2786,Buy,66.111,Buy,67.715,Buy,-2.883,Overbought,21.5500,Buy,Buy (8) ,Strong Buy,6665,+5.79,ASTOR,2023-03-22,AL,62.40,AL,57.34,AL,49.05,AL,30.23,AL,15.12,AL,7.56,AL,Buy (12)
49.336,Neutral,35.301,Sell,4.310,Oversold,0.264,Buy,0.6314,High Volatility,36.375,Sell,-80.1468,Sell,-0.2993,Sell,38.922,Sell,2.372,Buy,-70.356,Sell,-0.7420,Sell,Buy (2) ,Strong Sell,10390,+0.97,YKBNK,2023-03-22,SAT,10.708,SAT,11.052,SAT,10.594,AL,9.790,SAT,10.405,AL,8.360,SAT,Buy (5)
48.254,Neutral,25.026,Sell,3.789,Oversold,0.220,Buy,0.9457,Less Volatility,30.804,Sell,-113.3361,Sell,-0.5207,Sell,32.949,Sell,-0.338,Sell,-76.880,Sell,-0.8420,Sell,Buy (1) ,Strong Sell,1771,+0.68,AKBNK,2023-03-22,SAT,18.10,SAT,18.57,SAT,18.13,AL,17.28,AL,17.24,AL,14.11,neutral,Buy (6)
37.437,Sell,17.496,Oversold,7.256,Oversold,-0.087,Sell,0.1100,Less Volatility,37.807,Sell,-116.1359,Sell,-0.1450,Sell,30.316,Sell,-8.871,Sell,-90.566,Oversold,-0.2740,Sell,Buy (0) ,Strong Sell,2260,+0.89,SKBNK,2023-03-22,SAT,2.292,SAT,2.392,SAT,2.443,SAT,2.568,SAT,2.604,SAT,2.434,SAT,Buy (0)
100,Overbought,0.000,Oversold,0.000,Oversold,6.350,Buy,2.1214,High Volatility,72.415,Overbought,109.0308,Buy,11.8657,Buy,89.002,Overbought,0.000,Neutral,-3.412,Overbought,17.4480,Buy,Buy (4) ,Buy,2552,+3.32,GOKNR,2023-03-22,AL,22.93,AL,18.85,AL,9.43,AL,3.77,AL,1.89,AL,0.94,AL,Buy (12)
36.989,Sell,29.179,Sell,72.279,Buy,-1.250,Sell,1.1614,Less Volatility,39.235,Neutral,-95.5314,Sell,-0.0843,Sell,26.416,Oversold,-6.679,Sell,-77.778,Sell,-1.5180,Sell,Buy (1) ,Strong Sell,2016,+0.70,KOZAL,2023-03-22,SAT,20.44,SAT,20.60,SAT,21.66,SAT,24.59,SAT,21.31,AL,14.79,SAT,Buy (2)
57.514,Buy,52.501,Neutral,4.438,Oversold,0.713,Buy,0.8186,High Volatility,42.308,Sell,-9.1513,Neutral,0.0000,Neutral,37.481,Sell,13.940,Buy,-39.523,Buy,0.0540,Buy,Buy (5) ,Buy,13680,+0.29,ISCTR,2023-03-22,SAT,14.142,SAT,14.263,AL,13.153,AL,11.839,AL,11.317,AL,9.132,AL,Buy (8)
42.689,Sell,31.583,Sell,31.868,Sell,-0.110,Sell,0.1829,Less Volatility,34.586,Sell,-115.2477,Sell,-0.1336,Sell,43.456,Sell,-10.726,Sell,-71.429,Sell,-0.3080,Sell,Buy (0) ,Strong Sell,2820,+4.83,AKGRT,2023-03-22,AL,2.828,SAT,2.972,SAT,2.996,SAT,3.181,SAT,3.365,AL,2.552,SAT,Buy (3)
54.033,Neutral,35.550,Sell,37.846,Sell,0.015,Buy,0.0771,Less Volatility,37.791,Sell,17.1254,Neutral,0.0000,Neutral,35.947,Sell,6.849,Buy,-45.161,Neutral,0.0380,Buy,Buy (3) ,Sell,1570,+3.29,ADESE,2023-03-22,AL,1.546,SAT,1.571,AL,1.498,AL,1.513,SAT,1.596,AL,1.258,AL,Buy (10)
35.483,Sell,19.203,Oversold,12.331,Oversold,-0.320,Sell,0.3107,Less Volatility,60.073,Sell,-129.6427,Sell,-0.7907,Sell,24.120,Oversold,-16.955,Sell,-93.011,Oversold,-1.3220,Sell,Buy (0) ,Strong Sell,6710,+1.98,EKGYO,2023-03-22,SAT,6.878,SAT,7.343,SAT,7.814,SAT,7.891,SAT,7.377,AL,5.490,SAT,Buy (2)
